target_randomness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,total_randomness,total_latency,total_area,execution_time
6,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,6,4,92,0.0007727998308837414
7,COMAR,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,7,4,90,0.0005979998968541622
8,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,8,4,88,0.0005574999377131462
9,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,9,4,86,0.0007541999220848083
10,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,10,4,84,0.0005587004125118256
11,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,COMAR,11,4,82,0.0005675000138580799
12,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,COMAR,12,4,80,0.0008479999378323555
13,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,13,4,78,0.0004915003664791584
14,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,14,4,76,0.0004602000117301941
15,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,15,4,74,0.0005602999590337276
16,HPC2,HPC2,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,16,4,72,0.0008824998512864113
17,HPC2,HPC2,HPC2,HPC2,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,17,4,70,0.0005196002312004566
18,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,18,4,68,0.0004994003102183342
19,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,19,4,66,0.0006169998086988926
20,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,20,4,64,0.0005588000640273094
21,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,COMAR,HPC2,COMAR,COMAR,COMAR,COMAR,HPC2,COMAR,HPC2,COMAR,HPC2,COMAR,21,4,62,0.0004954002797603607
22,COMAR,COMAR,HPC3,COMAR,HPC3,COMAR,HPC3,COMAR,COMAR,COMAR,HPC3,COMAR,HPC3,COMAR,COMAR,COMAR,COMAR,HPC3,COMAR,HPC3,COMAR,HPC3,COMAR,22,3,84,0.000717600341886282
23,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.000601199921220541
24,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.00043010013177990913
25,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.00045270007103681564
26,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.0004992000758647919
27,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.00047109974548220634
28,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.0003776000812649727
29,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.000951400026679039
30,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,HPC2,23,4,46,0.0004978999495506287
31,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0005176002159714699
32,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.000753600150346756
33,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0009973999112844467
34,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.000993800349533558
35,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0007102000527083874
36,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0005085999146103859
37,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.00047479989007115364
38,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0008650003001093864
39,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0013729999773204327
40,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0005181003361940384
41,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0005850996822118759
42,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0012630000710487366
43,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0005114004015922546
44,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0006748996675014496
45,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC2,HPC2,HPC2,HPC3,HPC2,HPC3,HPC2,HPC3,HPC2,31,3,54,0.0004790998063981533
46,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,HPC3,46,2,69,0.0011171000078320503
